Designator,Mid X,Mid Y,Rotation,Layer
C1,45.4,-59.725,90.0,top
C10,56.05,-72.625,270.0,top
C2,35.95,-70.975,90.0,top
C3,33.1,-71.025,90.0,top
C4,35.0,-59.125,90.0,top
C5,33.05,-59.125,90.0,top
C6,69.15,-59.125,90.0,top
C7,71.05,-59.125,90.0,top
C8,68.25,-71.075,90.0,top
C9,71.05,-71.075,90.0,top
F1,53.7,-71.95,270.0,top
J10,75.1,-58.3875,180.0,top
J11,64.15,-70.2775,180.0,top
J12,75.1,-70.2775,180.0,top
J2,52.0,-59.525,180.0,top
J3,29.0,-58.3775,180.0,top
J5,39.0,-58.3475,180.0,top
J6,29.0,-70.2775,180.0,top
J7,39.98,-70.2275,180.0,top
J8,65.08,-58.3775,180.0,top
R1,41.025,-63.25,180.0,top
R10,62.925,-63.25,180.0,top
R11,62.975,-65.3,180.0,top
R2,41.025,-65.3,180.0,top
R3,56.1,-65.675,90.0,top
R4,54.5,-65.675,90.0,top
R5,45.005,-68.85,180.0,top
R6,48.1,-65.675,90.0,top
R7,49.7,-65.675,90.0,top
R8,51.3,-65.675,90.0,top
R9,52.9,-65.675,90.0,top
